"ML_Model","LLM_Model","Disease","AUC","Seed"
"RF","Claude","KD_MISC",0.901960784313726,8
"RF","Claude","KD_MISC",0.958823529411765,9
"RF","Claude","KD_MISC",0.81078431372549,10
"RF","Claude","KD_MISC",0.833333333333333,11
"RF","Claude","KD_MISC",0.875490196078431,12
"RF","Claude","KD_MISC",0.972549019607843,13
"RF","Claude","KD_MISC",0.920588235294118,14
"RF","Claude","KD_MISC",0.853921568627451,15
"RF","Claude","KD_MISC",0.78921568627451,16
"RF","Claude","KD_MISC",0.804901960784314,17
"RF","Claude","KD_MISC",0.901960784313725,18
"RF","Claude","KD_MISC",0.856862745098039,19
"RF","Claude","KD_MISC",0.915686274509804,20
"RF","Claude","KD_MISC",0.950980392156863,21
"RF","Claude","KD_MISC",0.896078431372549,22
"RF","Claude","KD_MISC",0.958823529411765,23
"RF","Claude","KD_MISC",0.838235294117647,24
"RF","Claude","KD_MISC",0.882352941176471,25
"RF","Claude","KD_MISC",0.82843137254902,26
"RF","Claude","KD_MISC",0.954901960784314,27
"RF","Claude","KD_MISC",0.894117647058823,28
"RF","Claude","KD_MISC",0.874509803921569,29
"RF","Claude","KD_MISC",0.950980392156863,30
"RF","Claude","KD_MISC",0.930392156862745,31
"RF","Claude","KD_MISC",0.816666666666667,32
"RF","Claude","KD_MISC",0.812745098039216,33
"RF","Claude","KD_MISC",0.808823529411765,34
"RF","Claude","KD_MISC",0.848039215686274,35
"RF","Claude","KD_MISC",0.823529411764706,36
"RF","Claude","KD_MISC",0.835294117647059,37
"RF","Claude","KD_MISC",0.875490196078431,38
"RF","Claude","KD_MISC",0.901960784313726,39
"RF","Claude","KD_MISC",0.82843137254902,40
"RF","Claude","KD_MISC",0.923529411764706,41
"RF","Claude","KD_MISC",0.957843137254902,42
"RF","Claude","KD_MISC",0.927450980392157,43
"RF","Claude","KD_MISC",0.840196078431373,44
"RF","Claude","KD_MISC",0.896078431372549,45
"RF","Claude","KD_MISC",0.866666666666667,46
"RF","Claude","KD_MISC",0.861764705882353,47
"RF","Claude","KD_MISC",0.768627450980392,48
"RF","Claude","KD_MISC",0.864705882352941,49
"RF","Claude","KD_MISC",0.899019607843137,50
"RF","Claude","KD_MISC",0.869607843137255,51
"RF","Claude","KD_MISC",0.955882352941176,52
"RF","Claude","KD_MISC",0.940196078431373,53
"RF","Claude","KD_MISC",0.854901960784314,54
"RF","Claude","KD_MISC",0.82156862745098,55
"RF","Claude","KD_MISC",0.851960784313725,56
"RF","Claude","KD_MISC",0.861764705882353,57
"RF","Claude","KD_MISC",0.687254901960784,58
"RF","Claude","KD_MISC",0.894117647058824,59
"RF","Claude","KD_MISC",0.86078431372549,60
"RF","Claude","KD_MISC",0.85,61
"RF","Claude","KD_MISC",0.903921568627451,62
"RF","Claude","KD_MISC",0.905882352941176,63
"RF","Claude","KD_MISC",0.820588235294118,64
"RF","Claude","KD_MISC",0.87156862745098,65
"RF","Claude","KD_MISC",0.923529411764706,66
"RF","Claude","KD_MISC",0.774509803921569,67
"RF","Claude","KD_MISC",0.872549019607843,68
"RF","Claude","KD_MISC",0.87156862745098,69
"RF","Claude","KD_MISC",0.913725490196078,70
"RF","Claude","KD_MISC",0.82843137254902,71
"RF","Claude","KD_MISC",0.817647058823529,72
"RF","Claude","KD_MISC",0.943137254901961,73
"RF","Claude","KD_MISC",0.868627450980392,74
"RF","Claude","KD_MISC",0.85,75
"RF","Claude","KD_MISC",0.868627450980392,76
"RF","Claude","KD_MISC",0.8,77
"RF","Claude","KD_MISC",0.907843137254902,78
"RF","Claude","KD_MISC",0.779411764705882,79
"RF","Claude","KD_MISC",0.853921568627451,80
"RF","Claude","KD_MISC",0.929411764705882,81
"RF","Claude","KD_MISC",0.941176470588235,82
"RF","Claude","KD_MISC",0.802941176470588,83
"RF","Claude","KD_MISC",0.907843137254902,84
"RF","Claude","KD_MISC",0.896078431372549,85
"RF","Claude","KD_MISC",0.917647058823529,86
"RF","Claude","KD_MISC",0.83921568627451,87
"RF","Claude","KD_MISC",0.827450980392157,88
"RF","Claude","KD_MISC",0.768627450980392,89
"RF","Claude","KD_MISC",0.78921568627451,90
"RF","Claude","KD_MISC",0.919607843137255,91
"RF","Claude","KD_MISC",0.982352941176471,92
"RF","Claude","KD_MISC",0.850980392156863,93
"RF","Claude","KD_MISC",0.858823529411765,94
"RF","Claude","KD_MISC",0.905882352941176,95
"RF","Claude","KD_MISC",0.954901960784314,96
"RF","Claude","KD_MISC",0.865686274509804,97
"RF","Claude","KD_MISC",0.697058823529412,98
"RF","Claude","KD_MISC",0.796078431372549,99
"RF","Claude","KD_MISC",0.930392156862745,100
"GLMNETLasso","Claude","KD_MISC",0.903921568627451,1
"GLMNETLasso","Claude","KD_MISC",0.872549019607843,2
"GLMNETLasso","Claude","KD_MISC",0.823529411764706,3
"GLMNETLasso","Claude","KD_MISC",0.792156862745098,4
"GLMNETLasso","Claude","KD_MISC",0.898039215686275,5
"GLMNETLasso","Claude","KD_MISC",0.843137254901961,6
"GLMNETLasso","Claude","KD_MISC",0.833333333333333,7
"GLMNETLasso","Claude","KD_MISC",0.888235294117647,8
"GLMNETLasso","Claude","KD_MISC",0.833333333333333,9
"GLMNETLasso","Claude","KD_MISC",0.737254901960784,10
"GLMNETLasso","Claude","KD_MISC",0.858823529411765,11
"GLMNETLasso","Claude","KD_MISC",0.82156862745098,12
"GLMNETLasso","Claude","KD_MISC",0.911764705882353,13
"GLMNETLasso","Claude","KD_MISC",0.884313725490196,14
"GLMNETLasso","Claude","KD_MISC",0.876470588235294,15
"GLMNETLasso","Claude","KD_MISC",0.805882352941176,16
"GLMNETLasso","Claude","KD_MISC",0.823529411764706,17
"GLMNETLasso","Claude","KD_MISC",0.888235294117647,18
"GLMNETLasso","Claude","KD_MISC",0.841176470588235,19
"GLMNETLasso","Claude","KD_MISC",0.866666666666667,20
"GLMNETLasso","Claude","KD_MISC",0.888235294117647,21
"GLMNETLasso","Claude","KD_MISC",0.880392156862745,22
"GLMNETLasso","Claude","KD_MISC",0.898039215686274,23
"GLMNETLasso","Claude","KD_MISC",0.805882352941176,24
"GLMNETLasso","Claude","KD_MISC",0.931372549019608,25
"GLMNETLasso","Claude","KD_MISC",0.745098039215686,26
"GLMNETLasso","Claude","KD_MISC",0.96078431372549,27
"GLMNETLasso","Claude","KD_MISC",0.870588235294118,28
"GLMNETLasso","Claude","KD_MISC",0.911764705882353,29
"GLMNETLasso","Claude","KD_MISC",0.858823529411765,30
"GLMNETLasso","Claude","KD_MISC",0.852941176470588,31
"GLMNETLasso","Claude","KD_MISC",0.776470588235294,32
"GLMNETLasso","Claude","KD_MISC",0.823529411764706,33
"GLMNETLasso","Claude","KD_MISC",0.901960784313726,34
"GLMNETLasso","Claude","KD_MISC",0.813725490196078,35
"GLMNETLasso","Claude","KD_MISC",0.786274509803922,36
"GLMNETLasso","Claude","KD_MISC",0.843137254901961,37
"GLMNETLasso","Claude","KD_MISC",0.762745098039216,38
"GLMNETLasso","Claude","KD_MISC",0.862745098039216,39
"GLMNETLasso","Claude","KD_MISC",0.845098039215686,40
"GLMNETLasso","Claude","KD_MISC",0.945098039215686,41
"GLMNETLasso","Claude","KD_MISC",0.925490196078431,42
"GLMNETLasso","Claude","KD_MISC",0.958823529411765,43
"GLMNETLasso","Claude","KD_MISC",0.801960784313726,44
"GLMNETLasso","Claude","KD_MISC",0.83921568627451,45
"GLMNETLasso","Claude","KD_MISC",0.9,46
"GLMNETLasso","Claude","KD_MISC",0.901960784313726,47
"GLMNETLasso","Claude","KD_MISC",0.870588235294118,48
"GLMNETLasso","Claude","KD_MISC",0.911764705882353,49
"GLMNETLasso","Claude","KD_MISC",0.825490196078431,50
"GLMNETLasso","Claude","KD_MISC",0.858823529411765,51
"GLMNETLasso","Claude","KD_MISC",0.950980392156863,52
"GLMNETLasso","Claude","KD_MISC",0.988235294117647,53
"GLMNETLasso","Claude","KD_MISC",0.796078431372549,54
"GLMNETLasso","Claude","KD_MISC",0.809803921568627,55
"GLMNETLasso","Claude","KD_MISC",0.686274509803922,56
"GLMNETLasso","Claude","KD_MISC",0.833333333333333,57
"GLMNETLasso","Claude","KD_MISC",0.77843137254902,58
"GLMNETLasso","Claude","KD_MISC",0.843137254901961,59
"GLMNETLasso","Claude","KD_MISC",0.870588235294118,60
"GLMNETLasso","Claude","KD_MISC",0.786274509803922,61
"GLMNETLasso","Claude","KD_MISC",0.894117647058824,62
"GLMNETLasso","Claude","KD_MISC",0.841176470588235,63
"GLMNETLasso","Claude","KD_MISC",0.870588235294118,64
"GLMNETLasso","Claude","KD_MISC",0.782352941176471,65
"GLMNETLasso","Claude","KD_MISC",0.868627450980392,66
"GLMNETLasso","Claude","KD_MISC",0.837254901960784,67
"GLMNETLasso","Claude","KD_MISC",0.850980392156863,68
"GLMNETLasso","Claude","KD_MISC",0.864705882352941,69
"GLMNETLasso","Claude","KD_MISC",0.896078431372549,70
"GLMNETLasso","Claude","KD_MISC",0.852941176470588,71
"GLMNETLasso","Claude","KD_MISC",0.845098039215686,72
"GLMNETLasso","Claude","KD_MISC",0.903921568627451,73
"GLMNETLasso","Claude","KD_MISC",0.770588235294118,74
"GLMNETLasso","Claude","KD_MISC",0.9,75
"GLMNETLasso","Claude","KD_MISC",0.827450980392157,76
"GLMNETLasso","Claude","KD_MISC",0.749019607843137,77
"GLMNETLasso","Claude","KD_MISC",0.843137254901961,78
"GLMNETLasso","Claude","KD_MISC",0.749019607843137,79
"GLMNETLasso","Claude","KD_MISC",0.813725490196078,80
"GLMNETLasso","Claude","KD_MISC",0.764705882352941,81
"GLMNETLasso","Claude","KD_MISC",0.913725490196078,82
"GLMNETLasso","Claude","KD_MISC",0.876470588235294,83
"GLMNETLasso","Claude","KD_MISC",0.854901960784314,84
"GLMNETLasso","Claude","KD_MISC",0.805882352941176,85
"GLMNETLasso","Claude","KD_MISC",0.974509803921569,86
"GLMNETLasso","Claude","KD_MISC",0.76078431372549,87
"GLMNETLasso","Claude","KD_MISC",0.833333333333333,88
"GLMNETLasso","Claude","KD_MISC",0.786274509803922,89
"GLMNETLasso","Claude","KD_MISC",0.819607843137255,90
"GLMNETLasso","Claude","KD_MISC",0.882352941176471,91
"GLMNETLasso","Claude","KD_MISC",0.874509803921569,92
"GLMNETLasso","Claude","KD_MISC",0.849019607843137,93
"GLMNETLasso","Claude","KD_MISC",0.798039215686274,94
"GLMNETLasso","Claude","KD_MISC",0.866666666666667,95
"GLMNETLasso","Claude","KD_MISC",0.911764705882353,96
"GLMNETLasso","Claude","KD_MISC",0.811764705882353,97
