"GeneName","Padj"
"PANK4",3.504490753944e-07
"HES5",3.50811715239242e-07
"RP3-395M20.12",3.59535974230675e-07
"TNFRSF14-AS1",3.59535974230675e-07
"TNFRSF14",3.59535974230675e-07
"RP3-395M20.7",3.59535974230675e-07
"RP3-395M20.9",3.59535974230675e-07
"PRXL2B",3.65528720119014e-07
"MMEL1",3.74292046732087e-07
"MMEL1-AS1",3.81204515120915e-07
"TTC34",3.88024041161524e-07
"ABC14-1188822O7.2",4.29305516578036e-07
"ABC14-1188822O7.1",4.38172296330109e-07
"RP11-740P5.2",4.47054119186985e-07
"RP11-740P5.4",4.50237291772523e-07
"RP11-740P5.3",4.50959810092163e-07
"RP5-907A6.1",5.20672601214463e-07
"ACTRT2",5.28418616919606e-07
"PRDM16-DT",5.42793041949722e-07
"PRDM16",5.59018403590931e-07
"MIR4251",5.6235375286107e-07
"RP1-163G9.2",5.84240037978066e-07
"RP11-193J6.1",5.89618136892531e-07
"RP11-22L13.1",5.9149729681924e-07
"RP4-785P20.3",5.92969945374447e-07
"RP4-785P20.2",5.94266524333453e-07
"ARHGEF16",6.15649030003128e-07
"RP11-168F9.2",6.15649030003128e-07
"MEGF6",6.42283183713437e-07
"MIR551A",6.91381763134679e-07
"RP11-46F15.2",6.98521026690907e-07
"TPRG1L",7.67406419244139e-07
"WRAP73",7.78576998329971e-07
"TP73",8.2992225968596e-07
"TP73-AS3",8.44656697904483e-07
"TP73-AS2",8.5554190740972e-07
"TP73-AS1",8.68184147413801e-07
"ENSG10010138423.1",8.72212065013627e-07
"CCDC27",9.17845737227428e-07
"SMIM1",9.17845737227428e-07
"LRRC47",9.45700502661484e-07
"RN7SL574P",9.62175924228795e-07
"RP1-286D6.5",9.62175924228795e-07
"CEP104",1.00862853275901e-06
"DFFB",1.00862853275901e-06
"C1orf174",1.00862853275901e-06
"LINC01134",1.01098505198525e-06
"LINC01346",1.03896991859939e-06
"LINC01345",1.06258304081848e-06
"LINC02780",1.11772025938494e-06
"RP11-718D19.2",1.15806020313059e-06
"EEF1DP6",1.24120426624652e-06
"LINC01777",1.30746476807483e-06
"RP5-1166F10.2",1.33189290674506e-06
"RP1-37J18.1",1.37879626472406e-06
"LINC01646",1.44108487460594e-06
"AJAP1",1.44108487460594e-06
"RP1-77N19.1",1.53399275930182e-06
"RP4-603B14.2",1.6056169346601e-06
"LINC02781",1.6056169346601e-06
"LINC02782",1.61061242189073e-06
"RP4-703E10.1",1.61061242189073e-06
"RP1-58B11.2",1.62215025335746e-06
"RP1-58B11.3",1.65794691236687e-06
"RP1-58B11.1",1.88924807538065e-06
"RP3-491M17.1",1.88924807538065e-06
"RP11-154H17.1",1.88924807538065e-06
"ENSG00000264341",1.9049678332944e-06
"MIR4689",1.93670491318649e-06
"NPHP4",1.98861684230249e-06
"KCNAB2",2.00725448340853e-06
"CHD5",2.05689360521568e-06
"RP1-120G22.12",2.05689360521568e-06
"RNF207-AS1",2.06389144124625e-06
"RNF207",2.1215389932327e-06
"ICMT",2.19665310463548e-06
"LINC00337",2.31836238541672e-06
"HES3",2.36807490418269e-06
"GPR153",2.41360327591552e-06
"ACOT7",2.5423479939491e-06
"RP1-202O8.3",2.57302616097784e-06
"HES2",2.66789924521062e-06
"ESPN",2.66789924521062e-06
"MIR4252",2.68344200020931e-06
"RP1-202O8.2",2.72311029420874e-06
"TNFRSF25",2.7617148548524e-06
"PLEKHG5",2.82109187514955e-06
"NOL9",2.95780535964485e-06
"RNU6-731P",2.97379600159525e-06
"RP11-58A11.2",3.12682247172608e-06
"TAS1R1",3.12682247172608e-06
"ZBTB48",3.13536433735951e-06
"KLHL21",3.14061203741427e-06
"PHF13",3.14127005871835e-06
"THAP3",3.24781880833117e-06
"DNAJC11",3.34099538623183e-06
"LINC01672",3.34614105468629e-06
"RP11-242F24.2",3.37007853582351e-06
"CAMTA1-DT",3.60760714517784e-06
"CAMTA1",3.77030062106267e-06
"RP11-312B8.2",3.80216437884018e-06
"RP11-334N17.1",3.81063589500868e-06
"RNU1-8P",3.85113567172859e-06
"CAMTA1-IT1",3.85284323233834e-06
"CAMTA1-AS2",3.89183353343491e-06
"CAMTA1-AS1",3.9907447744534e-06
"RP11-338N10.1",4.12047708786908e-06
