"Disease","ML_Model","Comparison","N_1","N_2","t_statistic","df","P_value","P_formatted","Significance","Test"
"ME/CFS","GLMNETLasso","Claude 3.7 Sonnet vs Claude Opus4",87,84,0.30331317247525,168.790635531579,0.7620247340676,"0.762","ns","t.test"
"ME/CFS","GLMNETLasso","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",88,85,0.113253285643622,170.771622775667,0.909962779161204,"0.910","ns","t.test"
"ME/CFS","GLMNETRidge","ChatGPT 4o vs ChatGPT o3",100,100,1.11888970286573,196.78388302594,0.264551130880082,"0.265","ns","t.test"
"ME/CFS","GLMNETRidge","Claude 3.7 Sonnet vs Claude Opus4",100,100,0.54983766750196,197.919290545938,0.583050645262785,"0.583","ns","t.test"
"ME/CFS","GLMNETRidge","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-1.1458161282837,197.151097416608,0.25326013899192,"0.253","ns","t.test"
"ME/CFS","NNET","ChatGPT 4o vs ChatGPT o3",100,100,1.50245704548123,185.509028855608,0.134679457223066,"0.135","ns","t.test"
"ME/CFS","NNET","Claude 3.7 Sonnet vs Claude Opus4",100,100,0.0999891639177888,196.593040552871,0.920454818949975,"0.920","ns","t.test"
"ME/CFS","NNET","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-1.52546609502222,197.977845541867,0.128738784365767,"0.129","ns","t.test"
"ME/CFS","RF","ChatGPT 4o vs ChatGPT o3",100,100,-0.453500096334716,197.986634738881,0.650685335889031,"0.651","ns","t.test"
"ME/CFS","RF","Claude 3.7 Sonnet vs Claude Opus4",100,100,-1.5115902037427,196.74825397054,0.132242638185297,"0.132","ns","t.test"
"ME/CFS","RF","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-1.51102843855532,197.998405266017,0.132375511661748,"0.132","ns","t.test"
