"ML_Model","Disease","LLM_1","LLM_2","n_seeds","mean_1","mean_2","df","p_value","q_value"
"EXTRATREES","KD/MIS-C","Claude Opus4 Long","Gemini Advanced 2.0 Flash Long",100,0.87493137254902,0.876598039215686,99,0.679306841086657,0.757322199485495
"EXTRATREES","KD/MIS-C","Claude Opus4 Long","Gemini Advanced 2.0 Flash Short",100,0.87493137254902,0.857813725490196,99,0.00590192810447578,0.0112202393629658
"EXTRATREES","KD/MIS-C","Claude Opus4 Long","Random",100,0.87493137254902,0.775274509803922,99,1.04307502174334e-22,7.86628400375501e-22
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","DESeq",100,0.88178431372549,0.912274509803922,99,2.64802861639491e-08,8.5249034466487e-08
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","GPT 4o Long",100,0.88178431372549,0.863764705882353,99,0.000451671443176829,0.00100740444434048
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","GPT 4o Short",100,0.88178431372549,0.806607843137255,99,6.88392631997328e-13,2.89124905438878e-12
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","GPT o3 Long",56,0.884628851540616,0.891141456582633,55,0.157815219324542,0.223927000392932
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","GPT o3 Short",100,0.88178431372549,0.889009803921569,99,0.0852722412387768,0.130635925130113
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","Gemini 2.5 Pro Long",100,0.88178431372549,0.874186274509804,99,0.0337555815500651,0.0559179233201928
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","Gemini 2.5 Pro Short",98,0.882773109243697,0.8656262505002,97,0.0107803014260745,0.0198584499954004
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","Gemini Advanced 2.0 Flash Long",100,0.88178431372549,0.876598039215686,99,0.202342636565835,0.277306926618841
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","Gemini Advanced 2.0 Flash Short",100,0.88178431372549,0.857813725490196,99,0.000112195522236634,0.000270100331310415
"EXTRATREES","KD/MIS-C","Claude Opus4 Short","Random",100,0.88178431372549,0.775274509803922,99,2.44009863542972e-21,1.70806904480081e-20
"EXTRATREES","KD/MIS-C","DESeq","GPT 4o Long",100,0.912274509803922,0.863764705882353,99,1.0068787822284e-12,4.19021200531026e-12
"EXTRATREES","KD/MIS-C","DESeq","GPT 4o Short",100,0.912274509803922,0.806607843137255,99,6.87237760880492e-18,4.07860671131249e-17
